BRIN,financieel,overig
13BY,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12CL,Basistoezicht,Basistoezicht
11RZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08CK,Basistoezicht,Basistoezicht
05WN,Basistoezicht,Basistoezicht
20PN,Basistoezicht,Basistoezicht
20OQ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15PO,Basistoezicht,Basistoezicht
15NA,Basistoezicht,Basistoezicht
15KL,Basistoezicht,Basistoezicht
15HR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15HR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14JK,Basistoezicht,Basistoezicht
14DZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14DZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15YU,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15HY,Basistoezicht,Basistoezicht
15EQ,Basistoezicht,Basistoezicht
